IID	GlumePub_Shenzhen-NN_2021_Natural
WATDE0141	NA
WATDE0143	NA
WATDE0144	0.00
WATDE0145	NA
WATDE0146	0.00
WATDE0148	NA
WATDE0149	0.00
WATDE0150	NA
WATDE0151	NA
WATDE0152	NA
WATDE0153	NA
WATDE0154	0.00
WATDE0156	1.00
WATDE0157	NA
WATDE0158	NA
WATDE0159	NA
WATDE0160	NA
WATDE0162	NA
WATDE0164	NA
WATDE0165	NA
WATDE0168	NA
WATDE0169	NA
WATDE0171	NA
WATDE0173	NA
WATDE0174	NA
WATDE0175	NA
WATDE0176	NA
WATDE0177	NA
WATDE0178	NA
WATDE0180	0.00
WATDE0181	0.00
WATDE0182	NA
WATDE0183	0.00
WATDE0184	NA
WATDE0185	0.00
WATDE0187	NA
WATDE0188	NA
WATDE0190	NA
WATDE0191	NA
WATDE0192	NA
WATDE0194	NA
WATDE0195	NA
WATDE0196	NA
WATDE0198	NA
WATDE0199	NA
WATDE0200	NA
WATDE0202	NA
WATDE0203	NA
WATDE0204	NA
WATDE0205	NA
WATDE0206	NA
WATDE0207	NA
WATDE0209	NA
WATDE0211	NA
WATDE0212	NA
WATDE0214	NA
WATDE0215	NA
WATDE0216	NA
WATDE0217	NA
WATDE0219	NA
WATDE0220	NA
WATDE0221	NA
WATDE0222	0.50
WATDE0223	NA
WATDE0224	NA
WATDE0225	NA
WATDE0227	0.00
WATDE0228	0.00
WATDE0229	NA
WATDE0230	NA
WATDE0232	NA
WATDE0233	NA
WATDE0234	NA
WATDE0235	NA
WATDE0236	NA
WATDE0237	NA
WATDE0238	NA
WATDE0239	NA
WATDE0241	NA
WATDE0242	NA
WATDE0243	NA
WATDE0244	NA
WATDE0246	NA
WATDE0247	NA
WATDE0248	NA
WATDE0249	NA
WATDE0250	NA
WATDE0252	NA
WATDE0253	NA
WATDE0254	NA
WATDE0255	NA
WATDE0257	0.00
WATDE0258	0.00
WATDE0259	1.00
WATDE0260	NA
WATDE0262	0.00
WATDE0263	0.00
WATDE0264	NA
WATDE0266	NA
WATDE0268	NA
WATDE0270	NA
WATDE0271	0.00
WATDE0272	0.00
WATDE0273	NA
WATDE0275	0.00
WATDE0276	NA
WATDE0277	NA
WATDE0278	NA
WATDE0280	NA
WATDE0281	NA
WATDE0282	NA
WATDE0284	NA
WATDE0285	NA
WATDE0286	0.00
WATDE0287	NA
WATDE0288	NA
WATDE0290	0.00
WATDE0291	NA
WATDE0292	NA
WATDE0293	NA
WATDE0294	NA
WATDE0296	NA
WATDE0298	NA
WATDE0299	NA
WATDE0301	NA
WATDE0302	NA
WATDE0303	NA
WATDE0304	NA
WATDE0305	NA
WATDE0306	NA
WATDE0308	NA
WATDE0310	NA
WATDE0312	NA
WATDE0313	NA
WATDE0315	0.00
WATDE0316	NA
WATDE0317	NA
WATDE0318	NA
WATDE0319	0.00
WATDE0321	NA
WATDE0323	NA
WATDE0324	NA
WATDE0325	NA
WATDE0328	NA
WATDE0329	NA
WATDE0331	NA
WATDE0332	0.00
WATDE0333	0.00
WATDE0334	NA
WATDE0335	NA
WATDE0336	NA
WATDE0337	NA
WATDE0340	NA
WATDE0342	NA
WATDE0343	NA
WATDE0344	NA
WATDE0345	NA
WATDE0346	1.00
WATDE0347	NA
WATDE0348	NA
WATDE0350	NA
WATDE0352	NA
WATDE0353	NA
WATDE0354	NA
WATDE0355	NA
WATDE0356	NA
WATDE0358	NA
WATDE0359	NA
WATDE0361	NA
WATDE0363	NA
WATDE0365	NA
WATDE0366	NA
WATDE0368	NA
WATDE0369	NA
WATDE0370	NA
WATDE0371	NA
WATDE0372	0.00
WATDE0373	NA
WATDE0374	0.00
WATDE0375	NA
WATDE0377	NA
WATDE0378	NA
WATDE0379	NA
WATDE0381	NA
WATDE0382	NA
WATDE0383	NA
WATDE0385	0.00
WATDE0386	NA
WATDE0387	NA
WATDE0389	NA
WATDE0391	NA
WATDE0392	NA
WATDE0394	NA
WATDE0396	NA
WATDE0397	NA
WATDE0399	NA
WATDE0401	0.00
WATDE0403	NA
WATDE0404	0.00
WATDE0405	NA
WATDE0407	0.00
WATDE0408	0.00
WATDE0409	NA
WATDE0410	NA
WATDE0411	NA
WATDE0412	NA
WATDE0413	0.00
WATDE0415	NA
WATDE0417	NA
WATDE0419	NA
WATDE0420	0.00
WATDE0421	0.00
WATDE0422	NA
WATDE0423	0.00
WATDE0424	NA
WATDE0425	NA
WATDE0426	NA
WATDE0427	NA
WATDE0428	NA
WATDE0429	NA
WATDE0430	NA
WATDE0431	NA
WATDE0432	NA
WATDE0433	NA
WATDE0434	NA
WATDE0435	NA
WATDE0436	0.00
WATDE0438	NA
WATDE0439	0.00
WATDE0440	NA
WATDE0441	0.00
WATDE0442	NA
WATDE0443	NA
WATDE0444	NA
WATDE0445	NA
WATDE0446	1.00
WATDE0448	0.00
WATDE0449	NA
WATDE0450	0.00
WATDE0451	NA
WATDE0452	NA
WATDE0453	NA
WATDE0454	0.00
WATDE0455	0.00
WATDE0456	0.00
WATDE0457	NA
WATDE0460	0.00
WATDE0461	0.00
WATDE0462	0.00
WATDE0463	NA
WATDE0465	NA
WATDE0467	NA
WATDE0469	NA
WATDE0471	0.00
WATDE0474	0.00
WATDE0477	0.00
WATDE0479	NA
WATDE0481	0.00
WATDE0482	0.00
WATDE0484	0.00
WATDE0486	0.00
WATDE0487	NA
WATDE0488	0.00
WATDE0489	0.00
WATDE0490	NA
WATDE0492	0.00
WATDE0494	NA
WATDE0496	NA
WATDE0498	NA
WATDE0500	NA
WATDE0501	NA
WATDE0502	NA
WATDE0503	NA
WATDE0504	NA
WATDE0505	NA
WATDE0507	NA
WATDE0509	0.00
WATDE0510	NA
WATDE0511	NA
WATDE0512	NA
WATDE0513	NA
WATDE0515	0.00
WATDE0516	NA
WATDE0518	NA
WATDE0519	NA
WATDE0520	NA
WATDE0521	0.00
WATDE0522	NA
WATDE0524	NA
WATDE0527	NA
WATDE0529	NA
WATDE0531	NA
WATDE0533	NA
WATDE0534	NA
WATDE0536	NA
WATDE0537	NA
WATDE0538	NA
WATDE0539	NA
WATDE0540	NA
WATDE0541	NA
WATDE0542	NA
WATDE0543	NA
WATDE0544	NA
WATDE0546	NA
WATDE0547	0.00
WATDE0549	NA
WATDE0550	NA
WATDE0552	NA
WATDE0553	0.00
WATDE0555	0.00
WATDE0556	0.00
WATDE0557	0.00
WATDE0558	NA
WATDE0560	NA
WATDE0561	NA
WATDE0562	NA
WATDE0563	0.00
WATDE0565	NA
WATDE0566	0.00
WATDE0567	NA
WATDE0568	NA
WATDE0569	0.00
WATDE0570	0.00
WATDE0571	0.00
WATDE0572	0.00
WATDE0574	0.00
WATDE0577	0.00
WATDE0578	NA
WATDE0579	0.00
WATDE0581	NA
WATDE0582	NA
WATDE0585	NA
WATDE0586	NA
WATDE0588	NA
WATDE0589	NA
WATDE0591	NA
WATDE0592	NA
WATDE0594	NA
WATDE0596	NA
WATDE0597	0.50
WATDE0598	NA
WATDE0599	NA
WATDE0600	NA
WATDE0601	NA
WATDE0602	NA
WATDE0603	NA
WATDE0604	0.00
WATDE0606	0.00
WATDE0608	NA
WATDE0609	NA
WATDE0610	NA
WATDE0611	0.00
WATDE0613	0.00
WATDE0614	NA
WATDE0615	0.00
WATDE0616	0.00
WATDE0617	NA
WATDE0618	NA
WATDE0620	NA
WATDE0622	NA
WATDE0624	NA
WATDE0626	NA
WATDE0627	NA
WATDE0628	NA
WATDE0630	NA
WATDE0631	0.00
WATDE0632	NA
WATDE0634	NA
WATDE0635	0.00
WATDE0636	NA
WATDE0638	NA
WATDE0639	NA
WATDE0640	0.00
WATDE0641	NA
WATDE0643	0.00
WATDE0644	NA
WATDE0646	0.00
WATDE0648	NA
WATDE0649	0.00
WATDE0650	1.00
WATDE0651	0.50
WATDE0652	0.00
WATDE0653	0.00
WATDE0655	0.00
WATDE0657	0.00
WATDE0658	NA
WATDE0659	0.50
WATDE0660	0.00
WATDE0661	0.00
WATDE0662	NA
WATDE0663	NA
WATDE0664	NA
WATDE0665	NA
WATDE0666	NA
WATDE0667	NA
WATDE0669	NA
WATDE0670	NA
WATDE0671	NA
WATDE0672	NA
WATDE0674	NA
WATDE0675	NA
WATDE0676	NA
WATDE0678	NA
WATDE0679	0.00
WATDE0680	0.00
WATDE0682	NA
WATDE0683	0.00
WATDE0685	NA
WATDE0686	NA
WATDE0687	NA
WATDE0688	NA
WATDE0689	0.00
WATDE0691	0.00
WATDE0693	NA
WATDE0694	0.00
WATDE0695	0.00
WATDE0697	NA
WATDE0699	NA
WATDE0700	NA
WATDE0701	NA
WATDE0702	NA
WATDE0703	NA
WATDE0704	0.00
WATDE0705	NA
WATDE0706	1.00
WATDE0707	NA
WATDE0709	0.00
WATDE0710	NA
WATDE0712	NA
WATDE0713	NA
WATDE0716	NA
WATDE0718	NA
WATDE0720	NA
WATDE0721	NA
WATDE0723	NA
WATDE0725	NA
WATDE0726	NA
WATDE0727	NA
WATDE0728	NA
WATDE0729	0.00
WATDE0730	NA
WATDE0732	NA
WATDE0735	0.00
WATDE0736	NA
WATDE0737	0.00
WATDE0738	0.00
WATDE0739	NA
WATDE0740	NA
WATDE0742	NA
WATDE0743	NA
WATDE0744	NA
WATDE0745	NA
WATDE0747	NA
WATDE0748	NA
WATDE0749	NA
WATDE0750	NA
WATDE0751	0.50
WATDE0752	NA
WATDE0754	NA
WATDE0755	NA
WATDE0756	0.00
WATDE0758	NA
WATDE0759	0.00
WATDE0760	0.00
WATDE0761	0.00
WATDE0763	0.50
WATDE0765	0.00
WATDE0766	NA
WATDE0768	0.00
WATDE0769	0.00
WATDE0770	NA
WATDE0771	0.00
WATDE0773	NA
WATDE0774	NA
WATDE0775	NA
WATDE0776	0.00
WATDE0777	NA
WATDE0779	NA
WATDE0780	0.00
WATDE0781	NA
WATDE0782	0.00
WATDE0783	0.00
WATDE0785	0.00
WATDE0786	NA
WATDE0788	0.00
WATDE0789	0.00
WATDE0790	0.00
WATDE0791	0.00
WATDE0793	NA
WATDE0794	0.50
WATDE0795	0.00
WATDE0797	0.00
WATDE0798	0.00
WATDE0800	0.00
WATDE0802	0.00
WATDE0803	NA
WATDE0804	NA
WATDE0805	NA
WATDE0807	NA
WATDE0808	NA
WATDE0810	NA
WATDE0811	0.00
WATDE0812	NA
WATDE0814	NA
WATDE0815	NA
WATDE0816	NA
WATDE0817	NA
WATDE0818	NA
WATDE0819	NA
WATDE0821	NA
WATDE0823	NA
WATDE0825	NA
WATDE0826	NA
WATDE0827	NA
WATDE0828	NA
WATDE0830	0.00
WATDE0831	NA
WATDE0833	NA
WATDE0835	0.00
WATDE0836	0.00
WATDE0837	NA
WATDE0839	NA
WATDE0840	NA
WATDE0841	0.00
WATDE0843	NA
WATDE0845	NA
WATDE0846	0.00
WATDE0848	NA
WATDE0850	0.00
WATDE0851	0.00
WATDE0852	0.00
WATDE0854	0.50
WATDE0856	NA
WATDE0857	0.00
WATDE0859	0.00
WATDE0861	0.00
WATDE0862	0.00
WATDE0863	0.00
WATDE0864	0.00
WATDE0865	0.00
WATDE0869	NA
WATDE0871	0.00
WATDE0872	NA
WATDE0873	NA
WATDE0874	NA
WATDE0875	NA
WATDE0876	NA
WATDE0877	NA
WATDE0878	NA
WATDE0879	NA
WATDE0880	NA
WATDE0881	NA
WATDE0882	NA
WATDE0883	NA
WATDE0884	NA
WATDE0887	NA
WATDE0888	0.00
WATDE0889	0.50
WATDE0890	NA
WATDE0892	NA
WATDE0894	NA
WATDE0895	0.00
WATDE0896	NA
WATDE0898	NA
WATDE0899	NA
WATDE0900	NA
WATDE0901	0.50
WATDE0902	NA
WATDE0903	NA
WATDE0904	0.00
WATDE0905	0.00
WATDE0906	0.00
WATDE0907	0.00
WATDE0909	0.00
WATDE0910	1.00
WATDE0911	NA
WATDE0912	0.00
WATDE0913	0.00
WATDE0914	NA
WATDE0915	NA
WATDE0916	NA
WATDE0917	NA
WATDE0918	NA
WATDE0919	NA
WATDE0920	NA
WATDE0922	NA
WATDE0923	1.00
WATDE0924	0.00
WATDE0926	0.00
WATDE0927	0.00
WATDE0928	0.00
WATDE0929	NA
WATDE0930	NA
WATDE0932	0.00
WATDE0933	0.00
WATDE0934	NA
WATDE0935	NA
WATDE0937	0.00
WATDE0938	NA
WATDE0939	NA
WATDE0941	NA
WATDE0944	NA
WATDE0945	0.00
WATDE0947	0.00
WATDE0950	NA
WATDE0951	NA
WATDE0952	NA
WATDE0953	NA
WATDE0954	NA
WATDE0955	NA
WATDE0957	0.00
WATDE0958	NA
WATDE0961	NA
WATDE0963	0.00
WATDE0965	NA
WATDE0966	NA
WATDE0967	NA
WATDE0969	NA
WATDE0970	NA
WATDE0971	NA
WATDE0973	NA
WATDE0974	NA
WATDE0975	NA
WATDE0977	NA
WATDE0978	NA
WATDE0979	NA
WATDE0981	NA
WATDE0982	NA
WATDE0983	NA
WATDE0984	0.00
WATDE0986	NA
WATDE0987	NA
WATDE0989	NA
WATDE0991	0.00
WATDE0993	1.00
WATDE0995	NA
WATDE0996	0.00
WATDE0997	NA
WATDE0999	0.00
WATDE1001	NA
WATDE1002	NA
WATDE1003	NA
WATDE1004	0.00
WATDE1005	0.00
WATDE1008	NA
WATDE1009	0.00
WATDE1010	0.00
WATDE1012	NA
WATDE1014	NA
WATDE1016	NA
WATDE1017	NA
WATDE1018	NA
WATDE1019	NA
WATDE1021	NA
WATDE1023	NA
WATDE1025	NA
WATDE1026	1.00
WATDE1027	NA
WATDE1029	NA
WATDE1031	1.00
WATDE1032	NA
WATDE1034	NA
WATDE1035	NA
WATDE1037	0.00
WATDE1038	1.00
WATDE1040	NA
WATDE1042	0.00
WATDE1044	NA
WATDE1046	0.00
WATDE1048	0.00
WATDE1049	0.00
WATDE1050	0.00
WATDE1051	0.00
WATDE1052	NA
WATDE1053	NA
WATDE1055	NA
WATDE1056	NA
WATDE1058	NA
WATDE1060	0.00
WATDE1061	0.00
WATDE1062	NA
Walde	NA
Warrior	NA
Waxwing	NA
Werla	NA
Wizard	NA
Wyalkatatchen	NA
Xi19	NA
Zemon	NA
Zentos	NA
ability	NA
avocet	NA
blitz	NA
cadenza	NA
captor	NA
cimcog32	NA
david	NA
denver	NA
eagle	NA
festival	NA
fidel	NA
fielder	NA
holster	NA
lancer	NA
landmark	NA
mace	NA
malacca	NA
mendel	NA
mercia	NA
mina	NA
paragon	NA
robigus	NA
solstice	NA
stanley	NA
torch	NA
veritas	NA
wasp	NA
weebil	NA
