       count    mean_size       size    percent
DHH    23592   506.860164   11957845   1.733393
DTA     2861   351.405453    1005371   0.145737
DTB        2   109.000000        218   0.000032
DTC    88379  1071.300365   94680455  13.724752
DTH    11757   430.162031    5057415   0.733116
DTM    14070   411.608387    5791330   0.839503
DTT    30495   280.140089    8542872   1.238363
DTX      312   240.852564      75146   0.010893
DXX      319   227.335423      72520   0.010512
NULL     100   212.430000      21243   0.003079
RIJ       49   112.877551       5531   0.000802
RIL       18   168.444444       3032   0.000440
RIR       11   228.272727       2511   0.000364
RIX     5140   861.531712    4428273   0.641917
RLC    40019  3066.362878  122712776  17.788279
RLG   115251  2799.878795  322688831  46.776539
RLX    20370  1635.574472   33316652   4.829537
RSX     2397   342.525657     821034   0.119016
XXX    46562   411.735364   19171222   2.779035
