ChineseName,number
陕优229,1
豫农982,1
Z39,1
刑麦1号,1
安农8108,1
周麦24,1
小偃102,1
小偃103,1
09J40,2
黑马1号(By6281),1
97-3222,1
荔高6号,1
U12-4169-1,1
淄麦12号,1
豫农202,1
小偃128,1
泰农18,1
U12-6371-3,1
郑麦9962,1
泰山9818,1
2137,2
徐麦856,1
2174,2
西农556,1
4B269-10-10-15-2-3,2
晋麦45(临汾7203),1
临汾7410,1
U12-5192-1,1
冀5385,1
陕麦159,1
怀川916,1
新麦26,1
徐麦29号,1
Above,2
豫麦70(内乡188),1
小偃168,1
贾继增产比154,1
小偃101,1
衡5229,1
濮麦9号,1
晋麦60(临丰518),1
邯00-7086,1
豫麦21(周麦9号),1
浚晓9706,1
藁优9405,1
郑麦98,1
河农6049,1
12G430-1,1
中范1号,1
Alice,2
豫麦49(温麦6号),1
中麦60,1
农大3383,1
小偃22,1
汶农六号,1
福穗2号,1
济南20,1
陕农33,1
Alliance,2
师栾02-1,1
西农889,1
小偃81,1
郑大1501,1
存麦1号(丰德存麦1号),1
衡观35,1
藁麦9409,1
豫教5号,1
许科1号,1
Ankor,2
洛旱2号,1
藁优9618,1
Antelope,2
百农64,1
豫麦52(豫农012),1
临麦2号,1
中育9398,1
藁优9411,1
冀麦38号,1
泰山21号,1
Arlin,2
B12-5044-6,1
郑麦004,1
周麦26,1
济麦20,1
驻麦328,1
贾继增产比32,1
冀5265,1
藁城9411-20,1
科遗6070,1
宝丰7228,1
航麦287,1
丰德存麦1号,1
泰禾麦5号,1
4021( 冀邢4021),1
中育9号(01中89),1
青麦6号,1
陕7014-5-1-2,1
郑州741,1
济研麦9号,1
周麦18,1
藁优2018,1
沧红,1
02H406-70-42-6-6,1
豫85-2325,1
U12-5242-1,1
轮选988,1
矮早8号,1
藁城9409-17,1
邯4564,1
藁优5218,1
Arrowsmith,2
中农麦4007,1
圣麦138,1
淮麦18号,1
郑农16,1
0-9-15-12,1
Bond CL,2
偃师4号,1
蓟冬3097,1
鲁麦13号(烟中144),1
汶农14号,1
农大3488 ,1
闫麦8911,1
沧麦028,1
小偃5号,1
Burchett,2
C104,2
山农11号(PH9804133),1
Cisco,2
周麦13选,1
豫麦66(兰考906),1
豫麦51(周麦11),1
陕76-15-9-29,1
周8425B,1
洛旱3号,1
豫麦20(樊寨5号),1
豫农949,1
小偃343,1
临优145,1
轮选518,1
U12-5245-2,1
邢麦4号,1
丰德存麦24,1
西农20,1
郑麦583-1,1
3638,1
济麦077133,1
优213-3,1
藁优5766,1
Cougar,2
豫麦66优系,1
周麦32,1
西农558,1
豫麦35(内乡184),1
Crimson,2
郑麦119,1
山农22,1
冀师02-1,1
陕160,1
科遗6140,1
Cutter,2
济研麦7号,1
漯麦906,1
山农116,1
衡观111,1
中信麦9号(众信5199),1
Endurance,2
百农207,1
农大195,1
12-5092m,1
品冬29,1
Hallam,2
莱州95021,1
U12-5275-3,1
Halt,2
DH5197,1
小偃81早,1
平安08-8,1
蒙科3号C,1
河农5290,1
西农979,1
科遗6014,1
杨86-228,1
豫麦67(郑农 8号 ),1
Hondo,2
周黑麦1号,1
兰考1号,1
科农86522,1
农大3615,1
衡6599,1
藁优9409,1
科遗6089,1
red river 68,1
Kalvesta,2
冀麦868,1
石麦19号,1
新麦11号,1
郑品麦22,1
赛德麦5号,1
漯麦26,1
农友9号,1
西农285,1
陕农GR8544-7-1-1,1
山农17,1
豫农9901,1
新麦19,1
临远02-6039,1
冀84-5103,1
Keota,2
浚9917,1
山农PH85-4,1
农大3251 ,1
农大211,1
邯6172,1
金麦54,1
Marquis,1
Longhorn,2
花培3号,1
聊麦18(聊9629),1
蒙科11,1
焦麦266,1
冬8131,1
